Response ID,"If you agree to these conditions, please click ""I consent to participate"" below. If you do not agree, click the “I do not consent to participate” option.

By agreeing to participate, you confirm that you are over 18 years of age.

 

I have read the above information.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","In Novel A, how long is the trail that Sam takes?","In Novel A, what plant does Sam rest against?","In Novel B, when does Alex go to the cafe?","In Novel B, what is the material of the chair Alex sketches?",chosen_story,"Your opinion is fundamental to understand reader preferences. Please take your time to answer this question.

In your own words, briefly share your motivation for your choice (minimum 200 characters, or about 40 words).",Your age:,gender,Your gender - Prefer to self describe: - Text,What was your total family income before taxes during the past 12 months?,List of Countries,Do you currently reside in the United States?,What is your current United States Zip Code?,How would you describe your political views?,"In Novel A, when does Alex go to the cafe?","In Novel A, what is the material of the chair Alex sketches?","In Novel B, how long is the trail that Sam takes?","In Novel B, what plant does Sam rest against?",boh,first_gender,first_story,chose_woman,Treatment A,chose_hike,respondent_woman
R_8DBE1qntUoP4JgI,I consent to participate.,664561808c4e365e2361eedf,6 miles,Juniper tree,Morning,Wood,Novel A,"I would continue reading novel A because I want to know what is in the note that Sam has. There are so many possibilities, whereas novel B seems a bit predictable. I enjoy mysteries and novel A seems to have a bit of mystery brewing in the small amount that I have read so far. ",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,28083,Moderate,,,,,,M,Hike,0,Other,1,1
R_2t5tZ4ksKjWvsse,I consent to participate.,55d7e6f669dbc30012b6826e,6 miles,Juniper tree,Morning,Wood,Novel B,"The first snippet was a little hard to follow, and I didn't like it much. It seemed a little disjointed, and not too interesting. But the second one seemed more interesting, and I wondered what was going to happen to Alex.",65+,Woman,,"Less than $25,000",United States of America,Yes,43229,Liberal,,,,,,W,Hike,0,Hike,0,1
R_2G3vUQS8nUJTQvK,I consent to participate.,654f973ac78b3016588a8f1e,,,,,Novel B,"I like adventure and suspense. Novel B is more of both of those. I am intrigued to find out who the letter is from and what it’s about. Also, Novel A is about art which I find boring. And whether or not he submits his artwork is not exciting to me. ",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,10466,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_71ISuz5dgpf4OqZ,I consent to participate.,60fd898edd52281143035799,6 miles,Juniper tree,Morning,Wood,Novel A,"I found the scenery to be more interesting and it left me on a cliffhanger. I wanted to know what was in the note that she was about to read, whereas in the other novel there wasn’t much to leave me wondering. ",18-24,Woman,,"$50,000-$99,999",United States of America,Yes,,Moderate,,,,,,W,Hike,1,Hike,1,1
R_3p3zafsLpldAkXV,I consent to participate.,5d786510dce93b00182ab480,,,,,Novel B,"Personally, I'm more interested in the outdoors, running, etc than I am with art and drawing. I was slightly intrigued by Alex's potential art exhibit, but much more interested in the meaning of the note on Sam's letter.",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,21921,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_2RaFf67zcBxz8mR,I consent to participate.,650213049d14b091627de905,,,,,Novel A,"I like the cozy feeling of being in a cafe warming yourself with coffee, while the outside is cold and frigid. The description of the home decor was a nice touch. I personally can’t relate to the extreme scorching temperatures in novel B.",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,1
R_60Ov6sv3wW26xGK,I consent to participate.,63eab089ff73041bdea22229,,,,,Novel B,"I'd rather read about a very interesting somewhat dangerous trip than an artist doing art. It just seems more exciting as Novel B has to deal with heat, finding shade/water, dangerous animals, etc, while Novel A is just about being unsure of themselves.",25-35,Man,,"$25,000-$49,999",United States of America,Yes,61842,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_8eQHV9d3iTxw0By,I consent to participate.,5f4d1371c20934977e621ac3,6 miles,Juniper tree,Morning,Wood,Novel A,Novel A ended on a cliffhanger and I wanted to knwo what was going to happen next. While reading Novel B I kept zoning out and having to go back and reread things to make sure I remembered them for the quiz after. I was not interested in Novel B so I would choose to continue to read Novel A.,36-45,Woman,,"$100,000-$199,999",United States of America,Yes,19438,Liberal,,,,,,M,Hike,0,Other,1,1
R_1rYrK3BwDVuERTj,I consent to participate.,5dd36bbae426bd3650e2c807,6 miles,Juniper tree,Morning,Wood,Novel A,"The second novel seemed a little stilted in its word choice. It was a little too direct and flat in the beginning,  so it was a bit less of an attention grabber than the first one.  The first one also felt more descriptive and I could get a better feel for the imagery of the setting. ",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,13440,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_3wLyzhgRf8KUATD,I consent to participate.,6638148f42b9ae9768604af8,6 miles,Juniper tree,Morning,Wood,Novel A,There was Cliffhanger that was more intriguing at the end of the excerpt. Was it a letter he was too afraid to open about something his past? I would like to find out more. Did he move to a new place to get away from his past.  It all seems very relatable to me personally.,25-35,Man,,"$25,000-$49,999",Guatemala,Yes,33756,Moderate,,,,,,M,Hike,0,Other,1,0
R_7azClyngmxfKo5b,I consent to participate.,5f49dd045cfe9f41d63c2638,,,,,Novel A," I would continue reading Novel A rather than Novel B. Novel A's use of words all felt captivating to me. The writing gave me a sense of where Alex lives and what he enjoys. I wanted to know more about Alex. Novel B though, the writing feels rushed. It seemed like Novel B was written for teens and Novel A was for young adults.",25-35,Man,,"$25,000-$49,999",United States of America,Yes,18353,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,0
R_2f7YGO6UdRi95F7,I consent to participate.,63d3f9de61039d451f5601cf,,,,,Novel A,"I felt like I got to know the female character more than the male character. I generally don’t like to read books with male protagonist, so I think novel B would be out for me. Neither book really pulled me in, if I am honest. At least something interesting seem to be happening or, had the potential to happen in book a",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,05001,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_8pmYw9KqbyWeJ4t,I consent to participate.,55a15aaffdf99b04310c8cbf,6 miles,Juniper tree,Morning,Wood,Novel B,"Being an artist myself, I would relate to the story. The cafe and a artist seems interesting.
I would imagine the chair full of magenta and gold as he draws. It would be described vividly in my head. 
",46-55,Woman,,"$25,000-$49,999",United States of America,Yes,36376,Moderate,,,,,,W,Hike,0,Hike,0,1
R_2yqKNifMukFyEO4,I consent to participate.,5dd877b0568ca582fb24699f,,,,,Novel B,I like the idea of someone getting out and hiking. Going for a hike and exploring the outdoors seems more interesting to me than someone sketching a picture of a chair sitting in a café all morning. I don’t have a lot of interest in artist. I’m more interested in people that want to go outside and explore ,56-65,Woman,,"$50,000-$99,999",United States of America,Yes,37347,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_8VOPvLZLiZukNlV,I consent to participate.,65f352c438fd076a3852e5c7,,,,,Novel B,"I felt novel be spoke to me a little bit more directly. I have lived in Arizona and enjoy the desert scenery, besides, they leave you on a cliffhanger where there’s some note of mystery that needs to be solved. I’m curious what the note entails and where the story is going to take me from here. ",46-55,Man,,"$100,000-$199,999",United States of America,Yes,06071,Conservative,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_1kF7j7gNWRtMPHE,I consent to participate.,6646c3834dee93c6f8fc8f53,,,,,Novel A,"Novel A describes a woman who wakes up at 6:30 am from throbbing pain. She spends her time at a cafe that gives her inspiration to draw her artwork.  Being in a quiet place while drawing gives her an idea by drawing a empty chair. To me, the empty chair gives insight of how the art would place her as someone who's filling her seat as an artist.",25-35,Woman,,"$25,000-$49,999",United States of America,Yes,38804,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_8ckp4WgZZmMvc3Z,I consent to participate.,5c48d9b3cd853b0001287890,,,,,Novel B,I felt that it had more of an adventure feel to it. I felt that the story had something more interesting to tell or at least something more that I was interested in. Novel A seemed more into the fine details and about descriptions not the overall theme and actions. ,25-35,Man,,"$100,000-$199,999",United States of America,Yes,07006,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_2qmWQnip14iR2Ll,I consent to participate.,6579f041c41219b56eaadd23,,,,,Novel B,"I would choose novel B as I am more interested in the experience of hiking a desert trail. I always felt I need to get better in shape, so reading peoples experiences hiking somewhat motivates me to take walks and explore the outside more.",18-24,Woman,,"$25,000-$49,999",United States of America,Yes,30152,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_7ElP5BiZgFB73zF,I consent to participate.,614895cb03b189f771ad1267,,,,,Novel A,"I liked the story with the art gallery more than the hiking, I want to know more. does she get into the art gallery? is she good at drawing? i like that it is in the snow rather than the hot heat hiking desert. I just found the first story to be more intriguing than the second",25-35,Woman,,"Less than $25,000",United States of America,Yes,27278,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_7d6dyTtwA6G8lHz,I consent to participate.,614dd92c39fef5a3a1e2f7f2,,,,,Novel B,I would choose novel A because it seems like it would be a mystery or thriller. Sam at the end of his hike after taking his rest finds a note at the bottom of his backpack that would seem to start some kind of mystery that he has to figure out.,46-55,Woman,,"$100,000-$199,999",United States of America,Yes,34474,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_5Mv2XHlFOcAhQPv,I consent to participate.,5e5d824268168509ca89806f,6 miles,Juniper tree,Morning,Wood,Novel A,"I really want to know what's on the note Sam has, and why he's been waiting to read it.  The art gallery thing is interesting, but she'll either be accepted or not.  But the note is really intriguing.",46-55,Woman,,"$50,000-$99,999",United States of America,Yes,48067,Very liberal,,,,,,M,Hike,0,Other,1,1
R_2gjfHWDfHLyd6NF,I consent to participate.,66466f3f7e1e42970c7ebd9b,6 miles,Juniper tree,Morning,Wood,Novel B,"Novel B showed a boy going to a cafe with a sketchbook. This interested me more because I have recently considered getting back into drawing recently. Additionally, the setting of novel A was a little boring to me. I did not find it very interesting and it felt too lonely.",18-24,Man,,"Less than $25,000",United States of America,Yes,33782,Moderate,,,,,,W,Hike,0,Hike,0,0
R_7ATFfGJ0pgymDzL,I consent to participate.,66298c1e1b3fed2e0f43fd1c,,,,,Novel A,"I would choose Novel A, as I am more interested in an artists inner reflections as they ply their craft. I would not choose Novel B, as I didn't like the writing style, it didn't flow very well. I also would not choose Novel B because I enjoy the outdoors, and Novel A is something different than this and I can enjoy another perspective of life by reading it ",46-55,Woman,,"$50,000-$99,999",United States of America,Yes,72081,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,1
R_5Dcg1jyy3rkCHRR,I consent to participate.,66463bc93e6f6e846ffb0b85,6 miles,Juniper tree,Morning,Wood,Novel A,"From the start of the book, I questioned whether the character was going through a life crisis or some kind of depression. Perhaps that motivated his move. The identity of the letter made me want to keep reading. Was it from a former partner? Parent? A letter to himself? He seemed to have wanted a peaceful place to read it. ",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,61301,Liberal,,,,,,M,Hike,0,Other,1,1
R_5lAG21AdSYUdxSg,I consent to participate.,663cf1eff1f4fd74924bacc1,,,,,Novel A,"I would continue reading this because the environment was more detailed and individual objects were described. Also the way they outline the scene makes the reader intrigued for what's to come. A good example is the description of the chair in A, where she immediately becomes found of an intimate object which gives the sense of delusion or curiosity.  ",18-24,Woman,,"Less than $25,000",United States of America,Yes,19610,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_3xwLbeLwTH6fes0,I consent to participate.,6436e488914fee32d79ffdf8,6 miles,Juniper tree,Morning,Wood,Novel A,The mystery of the letter is intriguing. Novel A had more unanswered questions that pulled the reader into wanting to know more. It also felt like the environment was better described. Novel B was somewhat boring. It did not keep my attention nor my intrigue. ,36-45,Man,,"$25,000-$49,999",United States of America,Yes,08904,Liberal,,,,,,M,Hike,0,Other,1,0
R_1Hc3psKLW2WcHTo,I consent to participate.,66044ed0808fca6c1f39766f,6 miles,Juniper tree,Morning,Wood,Novel A,I would prefer to continue reading novel A. It was more engaging and more interesting to me. I enjoyed reading novel A more as it represents my life a little bit since I enjoy hiking and going on trails. Novel B was good but novel A was better. ,25-35,Man,,"$50,000-$99,999",United States of America,Yes,34243,Moderate,,,,,,M,Hike,0,Other,1,0
R_1drK189OyQhkprA,I consent to participate.,5f2878286f2b241597c9d564,6 miles,Juniper tree,Morning,Wood,Novel A,"Novel a sounds like a story of self discovery and excitement while b is one of emotional growth which is less interesting to me. I think that b sounds like a good story just that a is better. 

I also enjoy the scenery of the desert and the world building of novel b was better that I could visualize",36-45,Man,,"$50,000-$99,999",United States of America,Yes,54636,Liberal,,,,,,W,Hike,1,Hike,1,0
R_89Pk2rMYTZxQbw5,I consent to participate.,66463d4e63b7cc6f74b86c18,,,,,Novel B,It sounds like Sam has an interesting story. He had a change in the type of setting he lives in and has a mysterious letter that would make me want to know why he moved and the contents of the letter. ,25-35,Woman,,"$100,000-$199,999",United States of America,Yes,06403,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_7yaCYmgmpW7K9up,I consent to participate.,6634e0d2cb528a43cdca3f79,6 miles,Juniper tree,Morning,Wood,Novel A,"I like the small details in the descriptions of the surroundings. I don't read fiction. I only read historical non fiction.  But I found myself enjoying this sample. Why did she make such a drastic geographical move? Is she running from someone or something, or running to something? It's well written ",46-55,Man,,"$100,000-$199,999",United States of America,Yes,46123 ,Liberal,,,,,,W,Hike,1,Hike,1,0
R_1Ckc9JmiwLD1ANw,I consent to participate.,663aef576aee207f2bcd1c19,6 miles,Juniper tree,Morning,Wood,Novel A,I like to hike; so this novel was more appealing to me. Plus the note he had seemed to spark a mystery or adventure coming his way.  I read many books and they have to keep me intrigued and wanting more. I felt Novel A did that more for me than Novel B. ,46-55,Woman,,"$50,000-$99,999",United States of America,Yes,84790,Moderate,,,,,,M,Hike,0,Other,1,1
R_3koLFe0P1ek4FZW,I consent to participate.,60be871a11e1b84fa2d3076b,,,,,Novel B,"I was intrigued by the move to Arizona that was questioned. Was it done in hast? Were they running away from an issue in their life? Why was there a delay in reading the letter? To open it but then not read it. Obviously, there was more of a clue to the current circumstances.",56-65,Woman,,"$50,000-$99,999",United States of America,Yes,24964,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_3z6C8W1D9eAnbla,I consent to participate.,660e13d50df3bfc30f8cf206,6 miles,Juniper tree,Morning,Wood,Novel A,"I find the premise of Novel A much more interesting.  Hiking out in the desert in the scorching sun has an air of uncertainty, where anything could happen.  Most importantly, I want to know more about that crumpled letter at the bottom of the rucksack.  The entire situation is a bit mysterious, which provides a compelling reason to continue reading.",46-55,Man,,"$50,000-$99,999",United States of America,Yes,38134,Moderate,,,,,,M,Hike,0,Other,1,0
R_8MsRd0C2EdlT9Xr,I consent to participate.,664656476c6c90dfd2bbc96d,,,,,Novel B,I would choose Novel B because it left me wanting to know more about what would happen next. It seemed like he was on a quest and it was interesting. I would like to know who wrote the note and what it was about.,25-35,Woman,,"$50,000-$99,999",United States of America,Yes,94585,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_8N7ZBetFAXODFsC,I consent to participate.,627e7c4b12787b51092b1984,6 miles,Juniper tree,Morning,Wood,Novel A,There seems to be a mystery element to Novel A that is intriguing. I want to find out what the letter in the backpack says and where it might lead Sam. The glimpses into his thoughts connected with me and made me relate to him.,25-35,Woman,,Prefer not to disclose,Canada,Yes,,Liberal,,,,,,M,Hike,0,Other,1,1
R_18OGC8QhsChSIv6,I consent to participate.,5a08663b3b6dfc0001445abe,,,,,Novel B,Novel B left off on an interesting note that piqued my curiosity. I would continue on reading to at least know the contents of the note that Sam had. Novel A ended on a less interesting note and felt a bit boring.,25-35,Woman,,"$25,000-$49,999",United States of America,Yes,32583,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_32Lp8NjtymgV0RP,I consent to participate.,63d7f363c1c417a758d5b4ea,6 miles,Juniper tree,Morning,Wood,Novel A,I would choose Novel A because it is about a man.  I am a man and feel I could relate more to him than the female artist.  I do not have any artistic ability and am not really interested in art.  I like to be outdoors and am interested in hiking.  ,36-45,Man,,"$100,000-$199,999",United States of America,Yes,76904,Moderate,,,,,,M,Hike,0,Other,1,0
R_1iNwrEIfoBdaQq5,I consent to participate.,63657946d27a41fd7080568d,6 miles,Juniper tree,Morning,Wood,Novel A,"Novel A seems more mysterious. Why was there a note in has backpack? Why did it say ""read me at the end?"" The end of what? He took the day off of work for a reason, is he going to end his life? There are many theories I could craft reading that novel compared to novel B.",25-35,Man,,"$50,000-$99,999",United States of America,Yes,44128,Moderate,,,,,,M,Hike,0,Other,1,0
R_16TLvdJCNlmdfjj,I consent to participate.,5f4c8469ad5ee688eff8cb4b,,,,,Novel B,"I liked the mysterious reveal at the end of the novel B passage, involving the letter. It had not been mentioned prior to this point so I really wanted to know what the letter contained. Leading up to that point, I had been wondering why this individual had moved away or what has drawn them to this specific trail.",18-24,Man,,"$25,000-$49,999",United States of America,Yes,40403,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_2zc0yooGxfOanwR,I consent to participate.,63e691a2fd3a3389c644c4c7,,,,,Novel B,"I wouldn't want to continue reading either, however, I am curious to know more concerning the letter in story B. The stories weren't compelling because they felt stilted and robotic. Show me, don't tell me.",46-55,Woman,,"$100,000-$199,999",United States of America,Yes,30066,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_3x4NFwIpTLzMRLX,I consent to participate.,57e91ff08dcd2c00014bea18,,,,,Novel B,"If I had both Novel A or Novel B in my hand, I would choose to continue reading Novel B because the end of the passage left a good cliffhanger. It made me want to know what the note said and why, so that is my motivation and these are just extra words to try to meet the unnecessary character and word count.",36-45,Woman,,"Less than $25,000",United States of America,Yes,27707,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_2dMiRfGh1bPxEiv,I consent to participate.,5effeb020eddd30dccc8a829,6 miles,Juniper tree,Morning,Wood,Novel A,"I would keep reading Novel A, because not only is he hiking in what seems to be a beautiful area but I'm interested in that letter he has. I want to know what it says. And why it said wait until the end. ",46-55,Woman,,"Less than $25,000",United States of America,Yes,89433,Moderate,,,,,,M,Hike,0,Other,1,1
R_5jssHk5E8m21QdP,I consent to participate.,5c4bf98934ee9300011ce501,6 miles,Juniper tree,Morning,Wood,Novel A,"There seems to be a bit of mystery in novel A. I generally enjoy reading books with a twist, or something that keeps me engaged and guessing. The envelope without a name the narrator had been carrying around was interesting. I'd like to know what was written on that letter. ",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,60304,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_3lFPfTezVzZBZDj,I consent to participate.,6361946867aaa026320f144f,,,,,Novel A,"Both of the novels left a lot of mystery at the end with what would happen, so I would be interested in reading further with either. If I had to chose one, it would be novel A because I enjoyed the deep descriptions of all the scenes in the short passage. It was easy to feel immersed into the experience of Alex based on the vivid descriptions of the author.",36-45,Man,,"More than $200,000",United States of America,Yes,23221,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,0
R_5asAYk4XoB6hF4J,I consent to participate.,5e59abf6a2f2c51b5edabbf1,,,,,Novel B,"He seems to either have something heavy on his mind or is just a negative person.  I'm curious as heck about the note in his sack and want to find out what is written on it!  The comment of ""time to get it over with it"" is foreshadowing something.",36-45,Man,,"$100,000-$199,999",United States of America,Yes,93720,Conservative,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_2vFIWMYd85Ox3Hj,I consent to participate.,5d24b0ca9e5cf10001850e56,,,,,Novel B,"The end of novel B left more of a cliffhanger at the part where it stopped. I am interested in learning what’s in the letter. I also like the imagery and descriptions in Novel B better as well. Novel A had good descriptions, but I am not as intrigued by the art world as I am the outside and nature.",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,19808,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_7ElXUncl5JWiC2Z,I consent to participate.,661011bfd9477801027610e2,6 miles,Juniper tree,Morning,Wood,Novel A,"In my opinion, the first one just sounds more interesting to me. I like the way that the scenery was described. The character musing about themselves in the beginning is quite relatable to myself. I'm also a naturally curious person, and would love to know what is written in that letter, and what it means when it states the end. The end of who or what has me drawn into wanting to know what happens next.",46-55,Woman,,"$50,000-$99,999",United States of America,Yes,34488,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_5P54SFj7vnevkyF,I consent to participate.,60df2a387184bf25da3ae6a2,,,,,Novel B,"""Read at the end"" is ominous.  There is this whole situation outside of Sam's control that will happen and that is interesting. The art one was just a person scared to submit their art. Self doubt is not that interesting.",36-45,Man,,"$50,000-$99,999",United States of America,Yes,90715,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_3dPfqI2hMaYblLz,I consent to participate.,60fdccdbb63680c35c2dc61d,,,,,Novel B,The letter in Novel B was much more compelling than anything in Novel A. I wasn't really interested in whether or not she would submit for the art gallery so I have no desire to keep reading Novel A. The cryptic message with the letter would definitely make more likely to keep reading Novel B.,18-24,Woman,,Prefer not to disclose,United States of America,Yes,21228,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
